5.000	0.000	0.000
4.500	1.400	0.000
4.190	2.646	0.063
4.036	3.790	0.172
4.011	4.875	0.321
4.097	5.937	0.508
4.281	7.004	0.737
4.554	8.101	1.017
4.908	9.249	1.359
5.342	10.464	1.777
5.855	11.760	2.289
6.445	13.148	2.916
7.115	14.633	3.686
7.867	16.217	4.629
8.702	17.893	5.781
9.621	19.648	7.184
10.624	21.454	8.883
11.707	23.271	10.925
12.863	25.037	13.358
14.081	26.670	16.222
15.340	28.062	19.545
16.612	29.078	23.328
17.858	29.563	27.537
19.029	29.350	32.082
20.061	28.280	36.811
20.883	26.230	41.503
21.418	23.148	45.874
21.591	19.088	49.608
21.340	14.232	52.406
20.629	8.881	54.046
19.455	3.419	54.437
17.851	-1.758	53.650
15.890	-6.320	51.906
13.669	-10.055	49.517
11.297	-12.896	46.823
8.877	-14.893	44.117
6.500	-16.175	41.619
4.233	-16.899	39.457
2.120	-17.214	37.690
0.186	-17.248	36.320
-1.557	-17.091	35.319
-3.110	-16.806	34.643
-4.480	-16.431	34.242
-5.675	-15.987	34.065
-6.706	-15.483	34.064
-7.584	-14.922	34.194
-8.318	-14.303	34.414
-8.916	-13.626	34.686
-9.387	-12.894	34.976
-9.738	-12.110	35.254
-9.975	-11.282	35.493
-10.106	-10.422	35.672
-10.137	-9.543	35.774
-10.078	-8.659	35.787
-9.936	-7.788	35.706
-9.721	-6.944	35.527
-9.444	-6.143	35.255
-9.114	-5.397	34.895
-8.742	-4.714	34.456
-8.339	-4.103	33.949
-7.915	-3.566	33.386
-7.480	-3.104	32.778
-7.043	-2.715	32.136
-6.610	-2.397	31.471
-6.189	-2.143	30.790
-5.784	-1.949	30.101
-5.401	-1.808	29.411
-5.041	-1.714	28.725
-4.709	-1.660	28.045
-4.404	-1.641	27.375
-4.128	-1.653	26.718
-3.880	-1.689	26.073
-3.661	-1.747	25.444
-3.470	-1.823	24.829
-3.305	-1.915	24.230
-3.166	-2.020	23.647
-3.051	-2.138	23.081
-2.960	-2.266	22.530
-2.891	-2.406	21.997
-2.842	-2.555	21.480
-2.813	-2.715	20.980
-2.804	-2.885	20.496
-2.812	-3.067	20.031
-2.837	-3.260	19.583
-2.880	-3.466	19.153
-2.938	-3.687	18.742
-3.013	-3.922	18.351
-3.104	-4.173	17.980
-3.211	-4.442	17.630
-3.334	-4.731	17.302
-3.474	-5.040	16.999
-3.630	-5.372	16.720
-3.805	-5.728	16.469
-3.997	-6.109	16.248
-4.208	-6.518	16.059
-4.439	-6.955	15.905
-4.691	-7.423	15.790
-4.964	-7.921	15.717
-5.260	-8.452	15.691
-5.579	-9.015	15.717
-5.922	-9.610	15.801
-6.291	-10.236	15.949
-6.686	-10.892	16.167
-7.106	-11.574	16.464
-7.553	-12.278	16.848
-8.026	-12.998	17.326
-8.523	-13.724	17.907
-9.043	-14.447	18.599
-9.583	-15.153	19.410
-10.140	-15.825	20.344
-10.709	-16.443	21.406
-11.282	-16.984	22.596
-11.852	-17.424	23.910
-12.409	-17.735	25.337
-12.942	-17.888	26.863
-13.437	-17.856	28.461
-13.879	-17.616	30.102
-14.252	-17.148	31.744
-14.542	-16.443	33.341
-14.732	-15.502	34.843
-14.809	-14.338	36.198
-14.762	-12.981	37.356
-14.584	-11.470	38.276
-14.272	-9.857	38.928
-13.831	-8.199	39.297
-13.268	-6.554	39.383
-12.596	-4.979	39.202
-11.835	-3.518	38.784
-11.003	-2.206	38.166
-10.123	-1.066	37.391
-9.217	-0.104	36.502
-8.306	0.680	35.538
-7.408	1.300	34.534
-6.537	1.771	33.517
-5.706	2.113	32.507
-4.924	2.349	31.520
-4.197	2.499	30.563
-3.527	2.582	29.643
-2.916	2.614	28.762
-2.363	2.610	27.919
-1.866	2.582	27.113
-1.421	2.540	26.341
-1.025	2.491	25.603
-0.673	2.441	24.895
-0.362	2.396	24.214
-0.086	2.358	23.560
0.158	2.331	22.930
0.376	2.316	22.322
0.570	2.314	21.735
0.744	2.326	21.169
0.902	2.354	20.622
1.047	2.397	20.093
1.182	2.456	19.582
1.310	2.531	19.089
1.432	2.622	18.613
1.551	2.730	18.154
1.669	2.856	17.713
1.787	2.999	17.288
1.909	3.160	16.881
2.034	3.341	16.491
2.164	3.541	16.119
2.302	3.763	15.766
2.448	4.007	15.432
2.604	4.275	15.118
2.771	4.568	14.827
2.951	4.887	14.558
3.144	5.235	14.314
3.353	5.613	14.097
3.579	6.023	13.909
3.824	6.467	13.754
4.088	6.947	13.634
4.374	7.465	13.555
4.683	8.022	13.520
5.017	8.620	13.535
5.377	9.260	13.606
5.766	9.941	13.742
6.183	10.664	13.948
6.631	11.426	14.236
7.111	12.224	14.614
7.622	13.054	15.093
8.165	13.907	15.686
8.739	14.773	16.403
9.343	15.639	17.257
9.972	16.487	18.258
10.624	17.293	19.415
11.291	18.032	20.734
11.965	18.672	22.217
12.636	19.178	23.859
13.290	19.509	25.646
13.912	19.627	27.555
14.483	19.493	29.551
14.984	19.073	31.586
15.393	18.345	33.601
15.688	17.299	35.529
15.849	15.945	37.296
15.859	14.312	38.828
15.704	12.452	40.063
15.379	10.433	40.950
14.884	8.337	41.462
14.230	6.250	41.598
13.432	4.253	41.378
12.514	2.413	40.846
11.504	0.782	40.058
10.432	-0.613	39.080
9.327	-1.763	37.974
8.218	-2.676	36.797
7.129	-3.372	35.596
6.079	-3.880	34.406
5.083	-4.230	33.253
4.151	-4.455	32.151
3.291	-4.583	31.109
2.503	-4.639	30.128
1.789	-4.646	29.209
1.146	-4.621	28.347
0.569	-4.579	27.538
0.054	-4.531	26.777
-0.404	-4.485	26.061
-0.812	-4.448	25.384
-1.176	-4.424	24.743
-1.501	-4.418	24.136
-1.792	-4.432	23.558
-2.056	-4.468	23.009
-2.298	-4.526	22.488
-2.520	-4.607	21.992
-2.729	-4.712	21.522
-2.927	-4.842	21.076
-3.119	-4.996	20.656
-3.307	-5.175	20.261
-3.493	-5.379	19.892
-3.682	-5.609	19.549
-3.875	-5.864	19.235
-4.074	-6.145	18.949
-4.281	-6.452	18.694
-4.498	-6.786	18.472
-4.727	-7.147	18.284
-4.969	-7.534	18.134
-5.225	-7.949	18.025
-5.498	-8.391	17.960
-5.787	-8.859	17.942
-6.094	-9.353	17.977
-6.420	-9.870	18.067
-6.765	-10.409	18.219
-7.129	-10.966	18.437
-7.513	-11.539	18.728
-7.916	-12.120	19.095
-8.336	-12.704	19.545
-8.773	-13.281	20.083
-9.224	-13.843	20.713
-9.686	-14.377	21.437
-10.155	-14.869	22.258
-10.626	-15.303	23.174
-11.094	-15.663	24.182
-11.551	-15.930	25.275
-11.989	-16.085	26.441
-12.398	-16.111	27.664
-12.770	-15.992	28.924
-13.092	-15.714	30.195
-13.354	-15.269	31.447
-13.546	-14.656	32.647
-13.657	-13.880	33.762
-13.679	-12.954	34.757
-13.607	-11.901	35.603
-13.436	-10.747	36.272
-13.167	-9.528	36.749
-12.803	-8.281	37.024
-12.351	-7.043	37.097
-11.820	-5.849	36.977
-11.223	-4.729	36.683
-10.574	-3.708	36.235
-9.887	-2.800	35.661
-9.178	-2.014	34.987
-8.462	-1.353	34.239
-7.751	-0.811	33.440
-7.057	-0.382	32.611
-6.389	-0.052	31.768
-5.756	0.189	30.925
-5.161	0.355	30.089
-4.610	0.460	29.268
-4.103	0.513	28.467
-3.641	0.527	27.687
-3.224	0.511	26.929
-2.851	0.471	26.194
-2.519	0.415	25.483
-2.225	0.347	24.793
-1.968	0.273	24.124
-1.744	0.194	23.475
-1.550	0.113	22.846
-1.384	0.032	22.235
-1.242	-0.048	21.641
-1.123	-0.127	21.065
-1.023	-0.204	20.505
-0.941	-0.278	19.960
-0.875	-0.351	19.430
-0.823	-0.423	18.915
-0.783	-0.493	18.414
-0.754	-0.563	17.927
-0.735	-0.633	17.453
-0.724	-0.705	16.992
-0.722	-0.777	16.544
-0.728	-0.852	16.109
-0.740	-0.930	15.685
-0.759	-1.012	15.274
-0.785	-1.099	14.874
-0.816	-1.191	14.486
-0.854	-1.289	14.110
-0.897	-1.395	13.745
